country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
New Caledonia,NCL,31-10-2021,,,,,1405,,,,4875,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
New Zealand,NZL,31-10-2021,6871368,3710392,3160976,20255,34926,134.14,72.43,61.71,6818,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Nicaragua,NIC,31-10-2021,,,,,26300,,,,3924,"Abdala, Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Soberana02, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Niger,NER,31-10-2021,,,,,5445,,,,217,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Nigeria,NGA,31-10-2021,8772539,5693300,3079239,,47798,4.15,2.69,1.46,226,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
North Macedonia,MKD,31-10-2021,,,,,4024,,,,1932,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Government of North Macedonia,http://zdravstvo.gov.mk/vkupno-aplicirani-1-641-733-dozi-vakcini-revakcinirani-46-od-polnoletnite-gragjani-vo-drzhavata/?cn-reloaded=1
Northern Cyprus,OWID_CYN,31-10-2021,,,,,770,,,,2014,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://asi.saglik.gov.ct.tr/
Northern Ireland,OWID_NIR,31-10-2021,2663473,1329419,1244076,3864,6422,140.48,70.12,65.62,3387,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Norway,NOR,31-10-2021,7950769,4206706,3744063,0,3208,145.47,76.97,68.5,587,"Moderna, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,31-10-2021,,,,,8392,,,,1607,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://twitter.com/OmaniMOH/status/1457638580545851393
Pakistan,PAK,31-10-2021,,,,,586596,,,,2605,"CanSino, Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://ncoc.gov.pk/covid-vaccination-en.php
Palestine,PSE,31-10-2021,,,,,18581,,,,3558,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Panama,PAN,31-10-2021,5461140,2978131,2377349,5875,8223,124.64,67.97,54.26,1877,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://vacunas.panamasolidario.gob.pa/vacunometro
Paraguay,PRY,31-10-2021,,,,,13823,,,,1915,"Covaxin, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Peru,PER,31-10-2021,35174540,19282545,15649339,250873,163790,105.44,57.8,46.91,4910,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministerio de Salud via github.com/jmcastagnetto/covid-19-peru-vacunas,https://www.datosabiertos.gob.pe/dataset/vacunacion
Philippines,PHL,31-10-2021,59316764,,27360873,,514439,53.42,,24.64,4633,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Department of Health via ABS-CBN Investigative and Research Group,https://news.abs-cbn.com/spotlight/multimedia/infographic/03/23/21/philippines-covid-19-vaccine-tracker
Poland,POL,31-10-2021,39064978,20248449,19965507,,62209,103.35,53.57,52.82,1646,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,31-10-2021,,,,,4673,,,,460,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,31-10-2021,4834881,,,2858,3313,164.98,,,1131,"Moderna, Pfizer/BioNTech",Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Romania,ROU,31-10-2021,12681048,,6297622,65256,118595,66.3,,32.92,6200,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania via datelazi.ro,https://datelazi.ro/
Russia,RUS,31-10-2021,104464268,55463950,47601622,402007,480747,71.59,38.01,32.62,3295,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,31-10-2021,,,,,51785,,,,3900,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Saint Kitts and Nevis,KNA,31-10-2021,,,,,62,,,,1158,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Saint Lucia,LCA,31-10-2021,,,,,450,,,,2440,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.covid19response.lc/
Saint Vincent and the Grenadines,VCT,31-10-2021,,,,,718,,,,6453,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/photos/a.872174376176320/5047661741960875/
Samoa,WSM,31-10-2021,,,,,1260,,,,6295,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
San Marino,SMR,31-10-2021,47502,25173,22329,,28,139.67,74.02,65.65,823,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/
Sao Tome and Principe,STP,31-10-2021,,,,,281,,,,1258,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Saudi Arabia,SAU,31-10-2021,45720862,24208729,21512133,79329,64860,129.37,68.5,60.87,1835,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
Scotland,OWID_SCT,31-10-2021,8971589,4318783,3908244,25678,31912,164.13,79.01,71.5,5838,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Serbia,SRB,31-10-2021,,,,,23980,,,,3490,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
Seychelles,SYC,31-10-2021,,,,,571,,,,5773,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Sierra Leone,SLE,31-10-2021,,,,,13039,,,,1602,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Singapore,SGP,31-10-2021,,,,,6943,,,,1273,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://covid19.who.int/
