country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Samoa,WSM,22-10-2021,,,,,797,,,,3982,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
San Marino,SMR,22-10-2021,,,,,0,,,,0,"Pfizer/BioNTech, Sputnik V",World Health Organization,https://covid19.who.int/
Sao Tome and Principe,STP,22-10-2021,,,,,366,,,,1639,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Saudi Arabia,SAU,22-10-2021,45091787,24028992,21062795,49926,92896,127.59,67.99,59.6,2629,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://covid19.moh.gov.sa/
Scotland,OWID_SCT,22-10-2021,8682013,4302382,3890477,33112,30305,158.84,78.71,71.18,5544,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Serbia,SRB,22-10-2021,,,,,27789,,,,4044,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
Seychelles,SYC,22-10-2021,,,,,581,,,,5874,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Sierra Leone,SLE,22-10-2021,,,,,10101,,,,1241,"Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Singapore,SGP,22-10-2021,9989540,4749876,4693995,33052,23738,183.17,87.1,86.07,4353,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://covid19.who.int/
Sint Maarten (Dutch part),SXM,22-10-2021,50410,26220,24190,,27,116.1,60.39,55.71,622,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Slovakia,SVK,22-10-2021,4796886,2499937,2296949,6985,3128,87.84,45.78,42.06,573,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,22-10-2021,2294149,1182925,1111224,3087,2356,110.36,56.91,53.46,1133,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via covid-19.sledilnik.org,https://covid-19.sledilnik.org/en/stats
Solomon Islands,SLB,22-10-2021,,,,,839,,,,1192,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Somalia,SOM,22-10-2021,,,,,5129,,,,314,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",World Health Organization,https://covid19.who.int/
South Africa,ZAF,22-10-2021,,,,,174331,,,,2903,"Johnson&Johnson, Pfizer/BioNTech",Ministry of Health,https://sacoronavirus.co.za/latest-vaccine-statistics/
South Korea,KOR,22-10-2021,74970848,40747636,35677331,704983,457860,146.13,79.42,69.54,8924,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,https://ncv.kdca.go.kr/
South Sudan,SSD,22-10-2021,,,,,822,,,,72,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/
Spain,ESP,22-10-2021,,,,,42049,,,,900,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20211116.ods
Sri Lanka,LKA,22-10-2021,27801336,14868800,12932536,161939,55573,129.32,69.17,60.16,2585,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-16-11_10_21_1.pdf
Suriname,SUR,22-10-2021,439539,246031,193508,3233,1989,74.27,41.57,32.7,3361,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Government of Suriname,https://laatjevaccineren.sr/
Sweden,SWE,22-10-2021,,,,,9905,,,,975,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://fohm.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/statistik-och-analyser/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,22-10-2021,11025905,5697587,5446501,26367,20720,126.51,65.37,62.49,2377,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://opendata.swiss/en/dataset/covid-19-schweiz?detGeo=CH
Syria,SYR,22-10-2021,,,,,1050,,,,57,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik Light, Sputnik V",World Health Organization,https://covid19.who.int/
Taiwan,TWN,22-10-2021,21717020,15555520,6161500,452233,326000,91.04,65.21,25.83,13666,"Medigen, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Tajikistan,TJK,22-10-2021,,,,,22926,,,,2351,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Tanzania,TZA,22-10-2021,,,,,7252,,,,118,"Johnson&Johnson, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Thailand,THA,22-10-2021,69217162,39358277,27774180,714104,800401,98.95,56.27,39.71,11442,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Government of Thailand,https://ddc.moph.go.th/vaccine-covid19/getFiles/9/1637119591756.pdf
Timor,TLS,22-10-2021,,,,,6186,,,,4603,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/
Togo,TGO,22-10-2021,,,,,6309,,,,744,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Tonga,TON,22-10-2021,,,,,546,,,,5114,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Trinidad and Tobago,TTO,22-10-2021,1197055,616502,580553,4049,3871,85.3,43.93,41.37,2758,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Tunisia,TUN,22-10-2021,8854357,5472941,4321918,41104,30547,74.18,45.85,36.21,2559,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/259870602850076
Turkey,TUR,22-10-2021,115040699,55115287,47962680,232925,190167,135.27,64.81,56.4,2236,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turks and Caicos Islands,TCA,22-10-2021,,,,,69,,,,1759,Pfizer/BioNTech,World Health Organization,https://covid19.who.int/
Tuvalu,TUV,22-10-2021,12114,6230,5884,,30,101.58,52.24,49.34,2516,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Uganda,UGA,22-10-2021,,,,,29799,,,,632,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",World Health Organization,https://covid19.who.int/
Ukraine,UKR,22-10-2021,15676299,8760922,6936057,289468,195534,36.06,20.16,15.96,4498,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://health-security.rnbo.gov.ua
United Arab Emirates,ARE,22-10-2021,,,,,30082,,,,3011,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,https://fcsc.gov.ae/en-us/Pages/Covid19/UAE-Covid-19-Updates.aspx
United Kingdom,GBR,22-10-2021,100818583,49649389,45513120,371105,351773,147.81,72.79,66.73,5157,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
United States,USA,22-10-2021,416389090,220407875,190596598,1302134,741427,123.81,65.53,56.67,2204,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccination-trends
Uruguay,URY,22-10-2021,6548241,2756256,2612718,24018,10342,187.89,79.09,74.97,2967,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health via vacuna.uy,https://monitor.uruguaysevacuna.gub.uy/
Uzbekistan,UZB,22-10-2021,24710357,13081265,,203770,184802,72.82,38.55,,5446,"Moderna, Oxford/AstraZeneca, Sputnik V, ZF2001",Government of Uzbekistan,https://coronavirus.uz/uz/lists
Vanuatu,VUT,22-10-2021,,,,,689,,,,2191,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Venezuela,VEN,22-10-2021,,,,,251060,,,,8746,"Abdala, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Vietnam,VNM,22-10-2021,71889209,51157792,20731417,,1632517,73.23,52.11,21.12,16630,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Vietnam,https://www.moh.gov.vn:443/web/guest/tin-tong-hop/-/asset_publisher/k206Q9qkZOqn/content/ngay-16-11-co-9-650-ca-mac-covid-19-tai-59-tinh-thanh-tang-hon-1-000-ca-so-voi-hom-qua
Wales,OWID_WLS,22-10-2021,5003783,2422938,2239671,20538,51727,157.85,76.43,70.65,16318,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Wallis and Futuna,WLF,22-10-2021,,,,,28,,,,2524,Moderna,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Yemen,YEM,22-10-2021,,,,,4378,,,,144,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",World Health Organization,https://covid19.who.int/
Zambia,ZMB,22-10-2021,871881,,511004,5395,5112,4.61,,2.7,270,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Government of Zambia,https://rtc-planning.maps.arcgis.com/apps/dashboards/3b3a01c1d8444932ba075fb44b119b63
Zimbabwe,ZWE,22-10-2021,5792394,3262463,2529931,17507,19436,38.38,21.62,16.76,1288,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",Ministry of Health,https://www.arcgis.com/home/webmap/viewer.html?url=https://services9.arcgis.com/DnERH4rcjw7NU6lv/ArcGIS/rest/services/Vaccine_Distribution_Program/FeatureServer&source=sd
Afghanistan,AFG,23-10-2021,,,,,36635,,,,920,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Albania,ALB,23-10-2021,,,,,5448,,,,1896,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-2000104-vaksinime/
Algeria,DZA,23-10-2021,,,,,35543,,,,797,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Andorra,AND,23-10-2021,,,,,66,,,,853,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Angola,AGO,23-10-2021,,,,,147679,,,,4352,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Anguilla,AIA,23-10-2021,,,,,0,,,,0,Oxford/AstraZeneca,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Antigua and Barbuda,ATG,23-10-2021,104500,55703,48797,,444,105.85,56.42,49.43,4497,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://covid19.gov.ag
Argentina,ARG,23-10-2021,57747212,32617779,25227233,417368,305935,126.62,71.52,55.32,6708,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Armenia,ARM,23-10-2021,,,,,13389,,,,4511,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Aruba,ABW,23-10-2021,,,,,105,,,,980,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,23-10-2021,34143402,18652593,15484232,191856,246476,132.4,72.33,60.04,9558,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Austria,AUT,23-10-2021,11395965,5858519,5588929,15873,21610,126.02,64.78,61.8,2390,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/data/COVID19_vaccination_doses_timeline.csv
Azerbaijan,AZE,23-10-2021,9353744,,4310597,33186,26765,91.49,,42.16,2618,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,23-10-2021,,,,,931,,,,2346,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bahrain,BHR,23-10-2021,2735992,1172869,1137010,2991,5127,156.49,67.09,65.04,2933,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,23-10-2021,60153454,39888958,20264496,,574348,36.17,23.99,12.19,3454,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,BRB,23-10-2021,268224,146877,121347,,961,93.23,51.05,42.18,3340,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/photo?fbid=257008643132011&set=a.248616513971224
Belarus,BLR,23-10-2021,,,,,41203,,,,4363,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Belgium,BEL,23-10-2021,16847158,8695968,8552611,10358,7097,144.83,74.76,73.52,610,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,23-10-2021,,,,,1738,,,,4292,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Benin,BEN,23-10-2021,,,,,1557,,,,125,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.who.int/
Bermuda,BMU,23-10-2021,,,,,151,,,,2432,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bhutan,BTN,23-10-2021,,,,,676,,,,867,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Bolivia,BOL,23-10-2021,,,,,32141,,,,2716,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.unidoscontraelcovid.gob.bo
Bosnia and Herzegovina,BIH,23-10-2021,,,,,7419,,,,2273,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.slobodnaevropa.org/a/bih-vakcine-unistavanje-vakcinacija/31555241.html
Botswana,BWA,23-10-2021,,,,,12578,,,,5247,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Brazil,BRA,23-10-2021,268199870,158233397,114767275,5106732,1583813,125.33,73.94,53.63,7401,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19_Vacina_V2/DEMAS_C19_Vacina_v2.html
British Virgin Islands,VGB,23-10-2021,,,,,35,,,,1150,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/
Brunei,BRN,23-10-2021,,,,,2704,,,,6124,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.moh.gov.bn/Lists/Latest%20news/NewDispForm.aspx?ID=1100&Source=http%3A%2F%2Fwww%2Emoh%2Egov%2Ebn%2FLists%2FLatest%2520news%2FAllItems%2Easpx&ContentTypeId=0x0104009A3003A09F8D6E42981D262E322516A2
Bulgaria,BGR,23-10-2021,,,1436426,,12489,,,20.83,1811,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Burkina Faso,BFA,23-10-2021,,,,,5541,,,,258,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Burundi,BDI,23-10-2021,,,,,62,,,,5,Sinopharm/Beijing,World Health Organization,https://covid19.who.int/
Cambodia,KHM,23-10-2021,27243478,13658227,12967268,79488,114950,160.76,80.6,76.52,6783,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/photos/a.930887636950343/4587195707986166/
Cameroon,CMR,23-10-2021,497689,411601,155738,,1628,1.83,1.51,0.57,60,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Canada,CAN,23-10-2021,58132709,29698585,27981574,44905,78275,152.71,78.01,73.5,2056,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,CPV,23-10-2021,,,,,2775,,,,4939,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Cayman Islands,CYM,23-10-2021,,,,,212,,,,3188,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Central African Republic,CAF,23-10-2021,,,,,14238,,,,2894,"Covaxin, Oxford/AstraZeneca",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Chad,TCD,23-10-2021,,,,,3309,,,,196,Sinopharm/Beijing,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Chile,CHL,23-10-2021,35366697,16336834,14658103,9650,163009,184.08,85.03,76.3,8485,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",https://github.com/MinCiencia/Datos-COVID19
China,CHN,23-10-2021,2244727000,,1067621000,1709000,2022857,155.43,,73.92,1401,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202111/806a0ebc9df947b7b2ec43a45d88b8c1.shtml
Colombia,COL,23-10-2021,45879607,29331273,20498474,191933,196285,89.49,57.21,39.98,3829,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
Comoros,COM,23-10-2021,,,,,4032,,,,4538,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Congo,COG,23-10-2021,,,,,3181,,,,562,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Cook Islands,COK,23-10-2021,,,,,49,,,,2789,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Costa Rica,CRI,23-10-2021,,,,,30895,,,,6012,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Cote d'Ivoire,CIV,23-10-2021,,,,,33043,,,,1221,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Croatia,HRV,23-10-2021,3557853,1886923,1774037,3650,5406,87.17,46.23,43.46,1324,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
Cuba,CUB,23-10-2021,25330666,9802963,7013247,54966,123725,223.82,86.62,61.97,10932,"Abdala, Soberana02",Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
Curacao,CUW,23-10-2021,192022,100129,91893,697,260,116.52,60.76,55.76,1578,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Cyprus,CYP,23-10-2021,,,,,1442,,,,1609,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
Czechia,CZE,23-10-2021,12083640,6168306,6058306,8157,17739,112.67,57.52,56.49,1654,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Democratic Republic of Congo,COD,23-10-2021,,,,,446,,,,5,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Denmark,DNK,23-10-2021,,4469504,4401695,,1905,,76.88,75.72,328,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Djibouti,DJI,23-10-2021,,,,,592,,,,591,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
Dominica,DMA,23-10-2021,,,,,296,,,,4101,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Dominican Republic,DOM,23-10-2021,13046499,6618207,5250652,25669,82053,119.11,60.42,47.93,7491,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Public Health,https://vacunate.gob.do/
Ecuador,ECU,23-10-2021,21973130,12186611,10170050,16500,81132,122.83,68.13,56.85,4535,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Government of Ecuador via Ecuacovid,https://covid19.who.int/
Egypt,EGY,23-10-2021,25083832,16744829,8339003,,320360,24.06,16.06,8,3073,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
El Salvador,SLV,23-10-2021,,,,,31159,,,,4780,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",Ministry of Health,https://covid19.gob.sv/
England,OWID_ENG,23-10-2021,84906496,41636233,38172423,384887,271132,150.14,73.63,67.5,4795,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/vaccinations
Equatorial Guinea,GNQ,23-10-2021,,,,,917,,,,632,Sinopharm/Beijing,Ministry of Health,https://guineasalud.org/estadisticas/
Estonia,EST,23-10-2021,1413547,780719,749263,2062,2236,106.67,58.91,56.54,1687,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Health Board,https://opendata.digilugu.ee
Eswatini,SWZ,23-10-2021,,,,,462,,,,394,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Ethiopia,ETH,23-10-2021,,,,,41993,,,,356,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/FMoHealth/status/1460670087279558658
Faeroe Islands,FRO,23-10-2021,,,,,95,,,,1937,"Moderna, Pfizer/BioNTech",Government of the Faeroe Islands,https://corona.fo/api
Fiji,FJI,23-10-2021,,,,,5162,,,,5717,Oxford/AstraZeneca,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Finland,FIN,23-10-2021,7990273,4205047,3785226,16808,15048,144.01,75.79,68.22,2712,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Finnish Institute for Health and Welfare,https://sampo.thl.fi/pivot/prod/en/vaccreg/cov19cov/fact_cov19cov?column=measure-533185.533172.433796.533175&row=cov_vac_dose-533174L
France,FRA,23-10-2021,98306970,51136748,45704129,110788,133461,145.5,75.69,67.65,1975,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France,https://www.data.gouv.fr/fr/datasets/donnees-relatives-aux-personnes-vaccinees-contre-la-covid-19-1/
French Polynesia,PYF,23-10-2021,,,,,322,,,,1140,"Johnson&Johnson, Pfizer/BioNTech",SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Gabon,GAB,23-10-2021,,,,,1350,,,,592,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Gambia,GMB,23-10-2021,,,,,2783,,,,1119,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Georgia,GEO,23-10-2021,,,,,4450,,,,1118,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac",National Center for Disease Control and Public Health,https://vaccines.ncdc.ge/vaccinationprocess/
Germany,DEU,23-10-2021,110933007,57509895,55110873,43599,128169,132.22,68.55,65.69,1528,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut,https://impfdashboard.de/
Ghana,GHA,23-10-2021,,,,,37743,,,,1189,"Oxford/AstraZeneca, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
Gibraltar,GIB,23-10-2021,85967,40471,39803,391,495,255.16,120.12,118.14,14692,Pfizer/BioNTech,Government of Gibraltar,https://twitter.com/GibraltarGov/status/1460586396742262785
